asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield
"2023-07-29","SPRXX",0.0503,0.0492,0.0484
"2023-07-30","SPRXX",0.0503,0.0495,0.0485
"2023-07-31","SPRXX",0.0504,0.0498,0.0486
"2023-08-01","SPRXX",0.0502,0.05,0.0486
"2023-08-02","SPRXX",0.0502,0.0503,0.0487
"2023-08-03","SPRXX",0.0502,0.0503,0.0488
"2023-08-04","SPRXX",0.0502,0.0503,0.0489
"2023-08-05","SPRXX",0.0502,0.0503,0.0489
"2023-08-06","SPRXX",0.0502,0.0502,0.049
"2023-08-07","SPRXX",0.0503,0.0502,0.0491
"2023-08-08","SPRXX",0.0503,0.0502,0.0492
"2023-08-09","SPRXX",0.0503,0.0503,0.0492
"2023-08-10","SPRXX",0.0503,0.0503,0.0493
"2023-08-11","SPRXX",0.0504,0.0503,0.0494
"2023-08-12","SPRXX",0.0504,0.0503,0.0494
"2023-08-13","SPRXX",0.0504,0.0503,0.0495
"2023-08-14","SPRXX",0.0504,0.0504,0.0496
"2023-08-15","SPRXX",0.0504,0.0504,0.0497
"2023-08-16","SPRXX",0.0504,0.0504,0.0497
"2023-08-17","SPRXX",0.0505,0.0504,0.0498
"2023-08-18","SPRXX",0.0505,0.0504,0.0499
"2023-08-19","SPRXX",0.0505,0.0505,0.0499
"2023-08-20","SPRXX",0.0505,0.0505,0.05
"2023-08-21","SPRXX",0.0505,0.0505,0.0501
"2023-08-22","SPRXX",0.0505,0.0505,0.0502
"2023-08-23","SPRXX",0.0505,0.0505,0.0502
"2023-08-24","SPRXX",0.0505,0.0505,0.0503
"2023-08-25","SPRXX",0.0505,0.0505,0.0504
"2023-08-26","SPRXX",0.0505,0.0505,0.0504
"2023-08-27","SPRXX",0.0505,0.0505,0.0504
"2023-08-28","SPRXX",0.0505,0.0505,0.0504
"2023-08-29","SPRXX",0.0506,0.0505,0.0504
"2023-08-30","SPRXX",0.0505,0.0505,0.0504
"2023-08-31","SPRXX",0.0506,0.0505,0.0504
"2023-09-01","SPRXX",0.0504,0.0505,0.0504
"2023-09-02","SPRXX",0.0504,0.0505,0.0504
"2023-09-03","SPRXX",0.0504,0.0505,0.0504
"2023-09-04","SPRXX",0.0504,0.0504,0.0504
"2023-09-05","SPRXX",0.0504,0.0504,0.0504
"2023-09-06","SPRXX",0.0504,0.0504,0.0505
"2023-09-07","SPRXX",0.0504,0.0504,0.0505
"2023-09-08","SPRXX",0.0504,0.0504,0.0505
"2023-09-09","SPRXX",0.0504,0.0504,0.0505
"2023-09-10","SPRXX",0.0504,0.0504,0.0505
"2023-09-11","SPRXX",0.0504,0.0504,0.0505
"2023-09-12","SPRXX",0.0505,0.0504,0.0505
"2023-09-13","SPRXX",0.0505,0.0505,0.0505
"2023-09-14","SPRXX",0.0505,0.0505,0.0505
"2023-09-15","SPRXX",0.0505,0.0505,0.0505
"2023-09-16","SPRXX",0.0505,0.0505,0.0505
"2023-09-17","SPRXX",0.0505,0.0505,0.0505
"2023-09-18","SPRXX",0.0505,0.0505,0.0505
"2023-09-19","SPRXX",0.0505,0.0505,0.0505
"2023-09-20","SPRXX",0.0506,0.0505,0.0505
"2023-09-21","SPRXX",0.0506,0.0505,0.0505
"2023-09-22","SPRXX",0.0506,0.0505,0.0505
"2023-09-23","SPRXX",0.0506,0.0505,0.0505
"2023-09-24","SPRXX",0.0506,0.0506,0.0505
"2023-09-25","SPRXX",0.0506,0.0506,0.0505
"2023-09-26","SPRXX",0.0506,0.0506,0.0505
"2023-09-27","SPRXX",0.0506,0.0506,0.0505
"2023-09-28","SPRXX",0.0506,0.0506,0.0505
"2023-09-29","SPRXX",0.0507,0.0506,0.0505
"2023-09-30","SPRXX",0.0507,0.0506,0.0505
"2023-10-01","SPRXX",0.0507,0.0506,0.0505
"2023-10-02","SPRXX",0.0505,0.0506,0.0505
"2023-10-03","SPRXX",0.0505,0.0506,0.0505
"2023-10-04","SPRXX",0.0505,0.0506,0.0505
"2023-10-05","SPRXX",0.0505,0.0506,0.0505
"2023-10-06","SPRXX",0.0505,0.0506,0.0505
"2023-10-07","SPRXX",0.0505,0.0505,0.0505
"2023-10-08","SPRXX",0.0505,0.0505,0.0505
"2023-10-09","SPRXX",0.0504,0.0505,0.0505
"2023-10-10","SPRXX",0.0505,0.0505,0.0505
"2023-10-11","SPRXX",0.0506,0.0505,0.0505
"2023-10-12","SPRXX",0.0506,0.0505,0.0506
"2023-10-13","SPRXX",0.0506,0.0505,0.0506
"2023-10-14","SPRXX",0.0506,0.0505,0.0506
"2023-10-15","SPRXX",0.0506,0.0506,0.0506
"2023-10-16","SPRXX",0.0506,0.0506,0.0506
"2023-10-17","SPRXX",0.0506,0.0506,0.0506
"2023-10-18","SPRXX",0.0507,0.0506,0.0506
"2023-10-19","SPRXX",0.0507,0.0506,0.0506
"2023-10-20","SPRXX",0.0508,0.0507,0.0506
"2023-10-21","SPRXX",0.0508,0.0507,0.0506
"2023-10-22","SPRXX",0.0508,0.0507,0.0506
"2023-10-23","SPRXX",0.0508,0.0507,0.0506
"2023-10-24","SPRXX",0.0508,0.0507,0.0506
"2023-10-25","SPRXX",0.0508,0.0508,0.0506
"2023-10-26","SPRXX",0.0509,0.0508,0.0506
"2023-10-27","SPRXX",0.0509,0.0508,0.0506
"2023-10-28","SPRXX",0.0509,0.0508,0.0506
"2023-10-29","SPRXX",0.0509,0.0509,0.0507
"2023-10-30","SPRXX",0.0508,0.0509,0.0507
"2023-10-31","SPRXX",0.0509,0.0509,0.0507
"2023-11-01","SPRXX",0.0507,0.0509,0.0507
"2023-11-02","SPRXX",0.0507,0.0508,0.0507
"2023-11-03","SPRXX",0.0507,0.0508,0.0507
"2023-11-04","SPRXX",0.0507,0.0508,0.0507
"2023-11-05","SPRXX",0.0507,0.0508,0.0507
"2023-11-06","SPRXX",0.0507,0.0507,0.0507
"2023-11-07","SPRXX",0.0507,0.0507,0.0507
"2023-11-08","SPRXX",0.0508,0.0507,0.0507
"2023-11-09","SPRXX",0.0508,0.0507,0.0507
"2023-11-10","SPRXX",0.0508,0.0507,0.0507
"2023-11-11","SPRXX",0.0508,0.0507,0.0508
"2023-11-12","SPRXX",0.0508,0.0508,0.0508
"2023-11-13","SPRXX",0.0508,0.0508,0.0508
"2023-11-14","SPRXX",0.0508,0.0508,0.0508
"2023-11-15","SPRXX",0.0508,0.0508,0.0508
"2023-11-16","SPRXX",0.0509,0.0508,0.0508
"2023-11-17","SPRXX",0.0508,0.0508,0.0508
"2023-11-18","SPRXX",0.0508,0.0508,0.0508
"2023-11-19","SPRXX",0.0508,0.0508,0.0508
"2023-11-20","SPRXX",0.0509,0.0508,0.0508
"2023-11-21","SPRXX",0.0509,0.0508,0.0508
"2023-11-22","SPRXX",0.0509,0.0509,0.0508
"2023-11-23","SPRXX",0.0509,0.0509,0.0508
"2023-11-24","SPRXX",0.0509,0.0509,0.0508
"2023-11-25","SPRXX",0.0509,0.0509,0.0508
"2023-11-26","SPRXX",0.0509,0.0509,0.0508
"2023-11-27","SPRXX",0.0509,0.0509,0.0508
"2023-11-28","SPRXX",0.0509,0.0509,0.0508
"2023-11-29","SPRXX",0.0509,0.0509,0.0508
"2023-11-30","SPRXX",0.051,0.0509,0.0508
"2023-12-01","SPRXX",0.0508,0.0509,0.0508
"2023-12-02","SPRXX",0.0508,0.0509,0.0508
"2023-12-03","SPRXX",0.0508,0.0509,0.0508
"2023-12-04","SPRXX",0.0508,0.0509,0.0508
"2023-12-05","SPRXX",0.0509,0.0509,0.0508
"2023-12-06","SPRXX",0.0509,0.0508,0.0508
"2023-12-07","SPRXX",0.0509,0.0508,0.0508
"2023-12-08","SPRXX",0.0509,0.0508,0.0508
"2023-12-09","SPRXX",0.0509,0.0508,0.0508
"2023-12-10","SPRXX",0.0509,0.0509,0.0509
"2023-12-11","SPRXX",0.0509,0.0509,0.0509
"2023-12-12","SPRXX",0.0509,0.0509,0.0509
"2023-12-13","SPRXX",0.0509,0.0509,0.0509
"2023-12-14","SPRXX",0.0509,0.0509,0.0509
"2023-12-15","SPRXX",0.0509,0.0509,0.0509
"2023-12-16","SPRXX",0.0509,0.0509,0.0509
"2023-12-17","SPRXX",0.0509,0.0509,0.0509
"2023-12-18","SPRXX",0.0509,0.0509,0.0509
"2023-12-19","SPRXX",0.0509,0.0509,0.0509
"2023-12-20","SPRXX",0.0509,0.0509,0.0509
"2023-12-21","SPRXX",0.0509,0.0509,0.0509
"2023-12-22","SPRXX",0.0509,0.0509,0.0509
"2023-12-23","SPRXX",0.0509,0.0509,0.0509
"2023-12-24","SPRXX",0.0509,0.0509,0.0509
"2023-12-25","SPRXX",0.0509,0.0509,0.0509
"2023-12-26","SPRXX",0.0509,0.0509,0.0509
"2023-12-27","SPRXX",0.051,0.0509,0.0509
"2023-12-28","SPRXX",0.051,0.0509,0.0509
"2023-12-29","SPRXX",0.051,0.0509,0.0509
"2023-12-30","SPRXX",0.051,0.051,0.0509
"2023-12-31","SPRXX",0.051,0.051,0.0509
"2024-01-01","SPRXX",0.051,0.051,0.0509
"2024-01-02","SPRXX",0.0508,0.051,0.0509
"2024-01-03","SPRXX",0.0508,0.0509,0.0509
"2024-01-04","SPRXX",0.0508,0.0509,0.0509
"2024-01-05","SPRXX",0.0507,0.0509,0.0509
"2024-01-06","SPRXX",0.0507,0.0508,0.0509
"2024-01-07","SPRXX",0.0507,0.0508,0.0509
"2024-01-08","SPRXX",0.0507,0.0508,0.0509
"2024-01-09","SPRXX",0.0507,0.0507,0.0509
"2024-01-10","SPRXX",0.0507,0.0507,0.0509
"2024-01-11","SPRXX",0.0507,0.0507,0.0509
"2024-01-12","SPRXX",0.0505,0.0507,0.0509
"2024-01-13","SPRXX",0.0505,0.0507,0.0508
"2024-01-14","SPRXX",0.0505,0.0506,0.0508
"2024-01-15","SPRXX",0.0505,0.0506,0.0508
"2024-01-16","SPRXX",0.0507,0.0506,0.0508
"2024-01-17","SPRXX",0.0507,0.0506,0.0508
"2024-01-18","SPRXX",0.0507,0.0506,0.0508
"2024-01-19","SPRXX",0.0507,0.0506,0.0508
"2024-01-20","SPRXX",0.0507,0.0506,0.0508
"2024-01-21","SPRXX",0.0507,0.0507,0.0508
"2024-01-22","SPRXX",0.0507,0.0507,0.0508
"2024-01-23","SPRXX",0.0507,0.0507,0.0508
"2024-01-24","SPRXX",0.0507,0.0507,0.0508
"2024-01-25","SPRXX",0.0507,0.0507,0.0507
"2024-01-26","SPRXX",0.0507,0.0507,0.0507
"2024-01-27","SPRXX",0.0507,0.0507,0.0507
"2024-01-28","SPRXX",0.0507,0.0507,0.0507
"2024-01-29","SPRXX",0.0507,0.0507,0.0507
"2024-01-30","SPRXX",0.0506,0.0507,0.0507
"2024-01-31","SPRXX",0.0507,0.0507,0.0507
"2024-02-01","SPRXX",0.0504,0.0507,0.0507
"2024-02-02","SPRXX",0.0504,0.0506,0.0507
"2024-02-03","SPRXX",0.0504,0.0506,0.0506
"2024-02-04","SPRXX",0.0504,0.0505,0.0506
"2024-02-05","SPRXX",0.0504,0.0505,0.0506
"2024-02-06","SPRXX",0.0504,0.0504,0.0506
"2024-02-07","SPRXX",0.0504,0.0504,0.0506
"2024-02-08","SPRXX",0.0504,0.0504,0.0506
"2024-02-09","SPRXX",0.0503,0.0504,0.0506
"2024-02-10","SPRXX",0.0503,0.0504,0.0506
"2024-02-11","SPRXX",0.0503,0.0504,0.0506
"2024-02-12","SPRXX",0.0504,0.0503,0.0505
"2024-02-13","SPRXX",0.0504,0.0504,0.0505
"2024-02-14","SPRXX",0.0504,0.0504,0.0505
"2024-02-15","SPRXX",0.0504,0.0504,0.0505
"2024-02-16","SPRXX",0.0504,0.0504,0.0505
"2024-02-17","SPRXX",0.0504,0.0504,0.0505
"2024-02-18","SPRXX",0.0504,0.0504,0.0505
"2024-02-19","SPRXX",0.0504,0.0504,0.0505
"2024-02-20","SPRXX",0.0504,0.0504,0.0505
"2024-02-21","SPRXX",0.0504,0.0504,0.0505
"2024-02-22","SPRXX",0.0504,0.0504,0.0505
"2024-02-23","SPRXX",0.0504,0.0504,0.0505
"2024-02-24","SPRXX",0.0504,0.0504,0.0504
"2024-02-25","SPRXX",0.0504,0.0504,0.0504
"2024-02-26","SPRXX",0.0504,0.0504,0.0504
"2024-02-27","SPRXX",0.0504,0.0504,0.0504
"2024-02-28","SPRXX",0.0504,0.0504,0.0504
"2024-02-29","SPRXX",0.0504,0.0504,0.0504
"2024-03-01","SPRXX",0.0502,0.0504,0.0504
"2024-03-02","SPRXX",0.0502,0.0504,0.0504
"2024-03-03","SPRXX",0.0502,0.0503,0.0504
"2024-03-04","SPRXX",0.0502,0.0503,0.0504
"2024-03-05","SPRXX",0.0502,0.0503,0.0504
"2024-03-06","SPRXX",0.0502,0.0502,0.0504
"2024-03-07","SPRXX",0.0502,0.0502,0.0503
"2024-03-08","SPRXX",0.0502,0.0502,0.0503
"2024-03-09","SPRXX",0.0502,0.0502,0.0503
"2024-03-10","SPRXX",0.0502,0.0502,0.0503
"2024-03-11","SPRXX",0.0502,0.0502,0.0503
"2024-03-12","SPRXX",0.0503,0.0502,0.0503
"2024-03-13","SPRXX",0.0503,0.0502,0.0503
"2024-03-14","SPRXX",0.0503,0.0502,0.0503
"2024-03-15","SPRXX",0.0503,0.0503,0.0503
"2024-03-16","SPRXX",0.0503,0.0503,0.0503
"2024-03-17","SPRXX",0.0503,0.0503,0.0503
"2024-03-18","SPRXX",0.0503,0.0503,0.0503
"2024-03-19","SPRXX",0.0503,0.0503,0.0503
"2024-03-20","SPRXX",0.0503,0.0503,0.0503
"2024-03-21","SPRXX",0.0503,0.0503,0.0503
"2024-03-22","SPRXX",0.0504,0.0503,0.0503
"2024-03-23","SPRXX",0.0504,0.0503,0.0503
"2024-03-24","SPRXX",0.0504,0.0503,0.0503
"2024-03-25","SPRXX",0.0504,0.0503,0.0503
"2024-03-26","SPRXX",0.0504,0.0504,0.0503
"2024-03-27","SPRXX",0.0504,0.0504,0.0503
"2024-03-28","SPRXX",0.0504,0.0504,0.0503
"2024-03-29","SPRXX",0.0504,0.0504,0.0503
"2024-03-30","SPRXX",0.0504,0.0504,0.0503
"2024-03-31","SPRXX",0.0504,0.0504,0.0503
"2024-04-01","SPRXX",0.0496,0.0503,0.0503
"2024-04-02","SPRXX",0.0503,0.0503,0.0503
"2024-04-03","SPRXX",0.0502,0.0503,0.0503
"2024-04-04","SPRXX",0.0503,0.0502,0.0503
"2024-04-05","SPRXX",0.0503,0.0502,0.0503
"2024-04-06","SPRXX",0.0503,0.0502,0.0503
"2024-04-07","SPRXX",0.0503,0.0502,0.0503
"2024-04-08","SPRXX",0.0503,0.0503,0.0503
"2024-04-09","SPRXX",0.0503,0.0503,0.0503
"2024-04-10","SPRXX",0.0503,0.0503,0.0503
"2024-04-11","SPRXX",0.0503,0.0503,0.0503
"2024-04-12","SPRXX",0.0503,0.0503,0.0503
"2024-04-13","SPRXX",0.0503,0.0503,0.0503
"2024-04-14","SPRXX",0.0503,0.0503,0.0503
"2024-04-15","SPRXX",0.0503,0.0503,0.0503
"2024-04-16","SPRXX",0.0503,0.0503,0.0503
"2024-04-17","SPRXX",0.0502,0.0503,0.0503
"2024-04-18","SPRXX",0.0502,0.0503,0.0503
"2024-04-19","SPRXX",0.0502,0.0503,0.0503
"2024-04-20","SPRXX",0.0502,0.0503,0.0503
"2024-04-21","SPRXX",0.0502,0.0502,0.0503
"2024-04-22","SPRXX",0.0502,0.0502,0.0503
"2024-04-23","SPRXX",0.0502,0.0502,0.0503
"2024-04-24","SPRXX",0.0503,0.0502,0.0503
"2024-04-25","SPRXX",0.0503,0.0502,0.0503
"2024-04-26","SPRXX",0.0503,0.0503,0.0503
"2024-04-27","SPRXX",0.0503,0.0503,0.0503
"2024-04-28","SPRXX",0.0503,0.0503,0.0503
"2024-04-29","SPRXX",0.0503,0.0503,0.0503
"2024-04-30","SPRXX",0.0504,0.0503,0.0503
"2024-05-01","SPRXX",0.0501,0.0503,0.0503
"2024-05-02","SPRXX",0.0501,0.0503,0.0503
"2024-05-03","SPRXX",0.05,0.0502,0.0503
"2024-05-04","SPRXX",0.05,0.0502,0.0502
"2024-05-05","SPRXX",0.05,0.0501,0.0502
"2024-05-06","SPRXX",0.0504,0.0502,0.0502
"2024-05-07","SPRXX",0.0501,0.0501,0.0502
"2024-05-08","SPRXX",0.0501,0.0501,0.0502
"2024-05-09","SPRXX",0.0501,0.0501,0.0502
"2024-05-10","SPRXX",0.0501,0.0501,0.0502
"2024-05-11","SPRXX",0.0501,0.0502,0.0502
"2024-05-12","SPRXX",0.0501,0.0502,0.0502
"2024-05-13","SPRXX",0.0501,0.0501,0.0502
"2024-05-14","SPRXX",0.0501,0.0501,0.0502
"2024-05-15","SPRXX",0.0502,0.0501,0.0502
"2024-05-16","SPRXX",0.0502,0.0502,0.0502
"2024-05-17","SPRXX",0.0502,0.0502,0.0502
"2024-05-18","SPRXX",0.0502,0.0502,0.0502
"2024-05-19","SPRXX",0.0502,0.0502,0.0502
"2024-05-20","SPRXX",0.0502,0.0502,0.0502
"2024-05-21","SPRXX",0.0502,0.0502,0.0502
"2024-05-22","SPRXX",0.0502,0.0502,0.0502
"2024-05-23","SPRXX",0.0502,0.0502,0.0502
"2024-05-24","SPRXX",0.0502,0.0502,0.0502
"2024-05-25","SPRXX",0.0502,0.0502,0.0502
"2024-05-26","SPRXX",0.0502,0.0502,0.0502
"2024-05-27","SPRXX",0.0502,0.0502,0.0502
"2024-05-28","SPRXX",0.0503,0.0502,0.0502
"2024-05-29","SPRXX",0.0503,0.0503,0.0502
"2024-05-30","SPRXX",0.0503,0.0503,0.0502
"2024-05-31","SPRXX",0.0504,0.0503,0.0502
"2024-06-01","SPRXX",0.0504,0.0503,0.0502
"2024-06-02","SPRXX",0.0504,0.0503,0.0502
"2024-06-03","SPRXX",0.0501,0.0503,0.0502
"2024-06-04","SPRXX",0.0501,0.0503,0.0502
"2024-06-05","SPRXX",0.0501,0.0503,0.0502
"2024-06-06","SPRXX",0.0501,0.0502,0.0502
"2024-06-07","SPRXX",0.0501,0.0502,0.0502
"2024-06-08","SPRXX",0.0501,0.0502,0.0502
"2024-06-09","SPRXX",0.0501,0.0501,0.0502
"2024-06-10","SPRXX",0.0501,0.0501,0.0502
"2024-06-11","SPRXX",0.0501,0.0501,0.0502
"2024-06-12","SPRXX",0.0501,0.0501,0.0502
"2024-06-13","SPRXX",0.0501,0.0501,0.0502
"2024-06-14","SPRXX",0.0502,0.0501,0.0502
"2024-06-15","SPRXX",0.0502,0.0501,0.0502
"2024-06-16","SPRXX",0.0502,0.0501,0.0502
"2024-06-17","SPRXX",0.0502,0.0502,0.0502
"2024-06-18","SPRXX",0.0502,0.0502,0.0502
"2024-06-19","SPRXX",0.0502,0.0502,0.0502
"2024-06-20","SPRXX",0.0502,0.0502,0.0502
"2024-06-21","SPRXX",0.0502,0.0502,0.0502
"2024-06-22","SPRXX",0.0502,0.0502,0.0502
"2024-06-23","SPRXX",0.0502,0.0502,0.0502
"2024-06-24","SPRXX",0.0502,0.0502,0.0502
"2024-06-25","SPRXX",0.0503,0.0502,0.0502
"2024-06-26","SPRXX",0.0504,0.0503,0.0502
"2024-06-27","SPRXX",0.0503,0.0503,0.0502
"2024-06-28","SPRXX",0.0503,0.0503,0.0502
"2024-06-29","SPRXX",0.0503,0.0503,0.0502
"2024-06-30","SPRXX",0.0503,0.0503,0.0502
"2024-07-01","SPRXX",0.0502,0.0503,0.0502
"2024-07-02","SPRXX",0.0503,0.0503,0.0502
"2024-07-03","SPRXX",0.0502,0.0503,0.0502
"2024-07-04","SPRXX",0.0502,0.0503,0.0502
"2024-07-05","SPRXX",0.0502,0.0503,0.0502
"2024-07-06","SPRXX",0.0502,0.0502,0.0502
"2024-07-07","SPRXX",0.0502,0.0502,0.0502
"2024-07-08","SPRXX",0.0502,0.0502,0.0502
"2024-07-09","SPRXX",0.0503,0.0502,0.0502
"2024-07-10","SPRXX",0.0503,0.0502,0.0502
"2024-07-11","SPRXX",0.0503,0.0502,0.0502
"2024-07-12","SPRXX",0.0503,0.0502,0.0502
"2024-07-13","SPRXX",0.0503,0.0503,0.0502
"2024-07-14","SPRXX",0.0503,0.0503,0.0503
"2024-07-15","SPRXX",0.0503,0.0503,0.0503
"2024-07-16","SPRXX",0.0504,0.0503,0.0503
"2024-07-17","SPRXX",0.0504,0.0503,0.0503
"2024-07-18","SPRXX",0.0504,0.0503,0.0503
"2024-07-19","SPRXX",0.0504,0.0503,0.0503
"2024-07-20","SPRXX",0.0504,0.0504,0.0503
"2024-07-21","SPRXX",0.0504,0.0504,0.0503
"2024-07-22","SPRXX",0.0504,0.0504,0.0503
"2024-07-23","SPRXX",0.0504,0.0504,0.0503
"2024-07-24","SPRXX",0.0504,0.0504,0.0503
"2024-07-25","SPRXX",0.0505,0.0504,0.0503
"2024-07-26","SPRXX",0.0505,0.0504,0.0503
"2024-07-27","SPRXX",0.0505,0.0504,0.0503
"2024-07-28","SPRXX",0.0505,0.0505,0.0503
"2024-07-29","SPRXX",0.0505,0.0505,0.0503
"2024-07-30","SPRXX",0.0504,0.0505,0.0503
"2024-07-31","SPRXX",0.0505,0.0505,0.0503
"2024-08-01","SPRXX",0.0503,0.0504,0.0503
"2024-08-02","SPRXX",0.0503,0.0504,0.0503
"2024-08-03","SPRXX",0.0503,0.0504,0.0503
"2024-08-04","SPRXX",0.0503,0.0504,0.0504
"2024-08-05","SPRXX",0.0503,0.0503,0.0504
"2024-08-06","SPRXX",0.0503,0.0503,0.0504
"2024-08-07","SPRXX",0.0503,0.0503,0.0504
"2024-08-08","SPRXX",0.0503,0.0503,0.0504
"2024-08-09","SPRXX",0.0503,0.0503,0.0504
"2024-08-10","SPRXX",0.0503,0.0503,0.0504
"2024-08-11","SPRXX",0.0503,0.0503,0.0504
"2024-08-12","SPRXX",0.0503,0.0503,0.0504
"2024-08-13","SPRXX",0.0504,0.0503,0.0504
"2024-08-14","SPRXX",0.0503,0.0503,0.0504
"2024-08-15","SPRXX",0.0503,0.0503,0.0504
"2024-08-16","SPRXX",0.0503,0.0503,0.0504
"2024-08-17","SPRXX",0.0503,0.0503,0.0504
"2024-08-18","SPRXX",0.0503,0.0503,0.0504
"2024-08-19","SPRXX",0.0503,0.0503,0.0504
"2024-08-20","SPRXX",0.0503,0.0503,0.0504
"2024-08-21","SPRXX",0.0503,0.0503,0.0504
"2024-08-22","SPRXX",0.0503,0.0503,0.0504
"2024-08-23","SPRXX",0.0503,0.0503,0.0504
"2024-08-24","SPRXX",0.0503,0.0503,0.0503
"2024-08-25","SPRXX",0.0503,0.0503,0.0503
"2024-08-26","SPRXX",0.0504,0.0503,0.0503
"2024-08-27","SPRXX",0.0505,0.0503,0.0503
"2024-08-28","SPRXX",0.0504,0.0504,0.0503
"2024-08-29","SPRXX",0.0504,0.0504,0.0503
"2024-08-30","SPRXX",0.0504,0.0504,0.0503
"2024-08-31","SPRXX",0.0504,0.0504,0.0503
"2024-09-01","SPRXX",0.0504,0.0504,0.0503
"2024-09-02","SPRXX",0.0504,0.0504,0.0503
"2024-09-03","SPRXX",0.0502,0.0504,0.0503
"2024-09-04","SPRXX",0.0502,0.0504,0.0503
"2024-09-05","SPRXX",0.0503,0.0503,0.0503
"2024-09-06","SPRXX",0.0503,0.0503,0.0503
"2024-09-07","SPRXX",0.0503,0.0503,0.0503
"2024-09-08","SPRXX",0.0503,0.0503,0.0503
"2024-09-09","SPRXX",0.0503,0.0503,0.0503
"2024-09-10","SPRXX",0.0503,0.0503,0.0503
"2024-09-11","SPRXX",0.0503,0.0503,0.0503
"2024-09-12","SPRXX",0.0502,0.0503,0.0503
"2024-09-13","SPRXX",0.0503,0.0503,0.0503
"2024-09-14","SPRXX",0.0503,0.0503,0.0503
"2024-09-15","SPRXX",0.0503,0.0503,0.0503
"2024-09-16","SPRXX",0.0504,0.0503,0.0503
"2024-09-17","SPRXX",0.0504,0.0503,0.0503
"2024-09-18","SPRXX",0.0503,0.0503,0.0503
"2024-09-19","SPRXX",0.0468,0.0498,0.0502
"2024-09-20","SPRXX",0.0459,0.0492,0.0501
"2024-09-21","SPRXX",0.0459,0.0486,0.0499
"2024-09-22","SPRXX",0.0459,0.0479,0.0498
"2024-09-23","SPRXX",0.0459,0.0473,0.0496
"2024-09-24","SPRXX",0.0458,0.0466,0.0495
"2024-09-25","SPRXX",0.0458,0.046,0.0493
"2024-09-26","SPRXX",0.0458,0.0458,0.0492
"2024-09-27","SPRXX",0.0457,0.0458,0.049
"2024-09-28","SPRXX",0.0457,0.0458,0.0488
"2024-09-29","SPRXX",0.0457,0.0458,0.0487
"2024-09-30","SPRXX",0.0459,0.0458,0.0485
"2024-10-01","SPRXX",0.046,0.0458,0.0484
"2024-10-02","SPRXX",0.046,0.0458,0.0482
"2024-10-03","SPRXX",0.0456,0.0458,0.0481
"2024-10-04","SPRXX",0.0456,0.0458,0.0479
