asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield,nav,aum,twelveMonTrlYield,yieldToWorst,yieldToMaturity,distributionYield,weightedAverageCoupon,durationYears,maturityYears,expenseRatio,accountType,source
"2026-03-11","VTEC",,,0.0286,99.85,2200000000,,0.031,,0.0331,0.044,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-12","VTEC",,,0.0287,99.96,2200000000,,0.0314,,0.0331,0.044,6.7,12.7,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-13","VTEC",,,0.0289,100.07,2200000000,,0.0322,,0.0331,0.0442,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-19","VTEC",,,0.0293,99.26,2200000000,,0.0317,,0.0331,0.044,6.6,12.7,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-20","VTEC",,,0.0295,98.75,2200000000,,0.0322,,0.0331,0.044,6.7,12.7,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-23","VTEC",,,0.0298,98.75,2200000000,,0.0332,,0.0331,0.0438,6.7,12.6,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-24","VTEC",,,0.0302,98.75,2200000000,,0.0331,,0.0331,0.0437,6.7,12.6,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-25","VTEC",,,0.0306,98.63,2200000000,,0.0342,,0.0331,0.0441,6.7,12.7,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-26","VTEC",,,0.0307,98.81,2200000000,,0.0342,,0.0331,0.0441,6.7,12.7,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-27","VTEC",,,0.0309,98.81,2200000000,,0.0345,,0.0331,0.0443,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-30","VTEC",,,0.0311,99.02,2200000000,,0.0346,,0.0331,0.0444,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-03-31","VTEC",,,0.0316,99.11,2200000000,,0.0342,,0.0331,0.0443,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-01","VTEC",,,0.0316,99.11,2200000000,,0.0342,,0.0331,0.0443,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-02","VTEC",,,0.0318,99.26,2300000000,,0.0339,,0.0331,0.0444,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-06","VTEC",,,0.0319,99.78,2300000000,,0.0339,,0.0331,0.0444,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-07","VTEC",,,0.0322,99.81,2300000000,,0.0338,,0.0315,0.0444,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-08","VTEC",,,0.0322,99.81,2300000000,,0.0338,,0.0315,0.0446,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-09","VTEC",,,0.0321,99.9,2300000000,,0.0328,,0.0315,0.0444,6.7,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-10","VTEC",,,0.0321,99.9,2300000000,,0.033,,0.0315,0.0446,6.7,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-13","VTEC",,,0.0322,99.9,2300000000,,0.033,,0.0315,0.0446,6.7,12.9,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
"2026-04-14","VTEC",,,0.0322,99.82,2300000000,,0.0329,,0.0315,0.0446,6.6,12.8,0.0006,"California Tax-Exempt Bond ETF","advisors.vanguard.com"
